City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Bengkulu,-3.8004,102.2655,84.25,62,94,7.11,ID,1672119343
181,Alora,36.8236,-4.7058,53.49,62,80,1.97,ES,1672119343
182,Chokurdakh,70.6333,147.9167,-30.08,100,97,3.58,RU,1672119344
183,Shakiso,5.75,38.9167,68.83,52,99,4.92,ET,1672119345
184,Hvittingfoss,59.4833,10.0167,36.01,52,78,11.99,NO,1672119345
185,Walvis Bay,-22.9575,14.5053,63.09,82,100,2.3,NA,1672119346
186,Nikolskoye,59.7035,30.7861,21.09,90,73,12.08,RU,1672119346
187,Mersing,2.4312,103.8405,85.91,66,40,10.36,MY,1672119347
188,Khovd,48.0056,91.6419,3.29,74,7,3.13,MN,1672119347
189,Talnakh,69.4865,88.3972,6.21,97,99,6.22,RU,1672119348
190,Baft,29.234,56.6057,40.33,65,3,7.67,IR,1672119349
191,Khasan,42.4308,130.6434,24.49,56,8,6.8,RU,1672119349
192,Lagoa,39.05,-27.9833,58.89,75,78,19.66,PT,1672119350
193,Sitka,57.0531,-135.33,42.69,81,100,8.05,US,1672119350
194,Poronaysk,49.2167,143.1167,18.75,90,63,7.29,RU,1672119351
195,Bo Rai,12.5728,102.5371,87.67,48,98,3.33,TH,1672119351
196,Nioro,13.35,-15.75,64.9,39,97,6.24,GM,1672119352
197,Chimbote,-9.0853,-78.5783,67.6,83,60,6.29,PE,1672119353
198,Chimoio,-19.1164,33.4833,71.1,70,21,3.18,MZ,1672119354
199,Granada,37.1882,-3.6067,35.96,93,0,0.0,ES,1672119355
200,Kidal,18.4411,1.4078,59.52,32,67,11.95,ML,1672119355
201,Ariquemes,-9.9133,-63.0408,70.56,94,42,2.17,BR,1672119283
202,Strezhevoy,60.7333,77.5889,4.89,96,58,7.63,RU,1672119356
203,Methóni,36.8197,21.7049,54.21,85,5,12.66,GR,1672119356
204,Domodossola,46.1165,8.2931,48.94,80,43,8.48,IT,1672119357
205,Cayenne,4.9333,-52.3333,75.24,94,100,5.75,GF,1672119358
206,San Patricio,28.017,-97.5169,49.84,48,0,7.11,US,1672119358
207,Ponta do Sol,32.6667,-17.1,68.63,81,50,13.35,PT,1672119359
208,Bontang,0.1333,117.5,85.17,69,100,9.28,ID,1672119359
209,Paamiut,61.994,-49.6678,22.55,95,100,11.9,GL,1672119360
210,Bathsheba,13.2167,-59.5167,79.41,78,75,19.57,BB,1672119360
211,Moindou,-21.6924,165.677,75.07,90,100,4.74,NC,1672119360
212,Kurumkan,54.3,110.3,0.63,91,56,0.51,RU,1672119361
213,City of San Pedro,14.35,121.0167,80.35,69,75,8.05,PH,1672119083
214,Faanui,-16.4833,-151.75,80.26,77,10,15.7,PF,1672119362
